10
1 Asegurar_la_cuarta_llave 27 2 0
2 Rastrear_satelite_pirata 31 3 0
3 Detener_fuga_de_informacion 1 8 4 0
4 Infiltrarse_red_financiera 8 10 5 0
5 Detener_fuga_de_informacion 26 9 10 6 0
6 Infiltrarse_grupo 30 7 0
7 Descubrir_identidad_de_infiltrados 7 8 0
8 Acceder_red_inteligencia 37 9 0
9 Neutralizar_amenaza 2 10 0
10 Desactivar_la_Entidad 16 0
50 34
1 Montevideo
2 Nueva_York
3 Roma
4 Tokio
5 Moscu
6 Abu_Dhabi
7 Hong_Kong
8 Los_Angeles
9 Paris
10 Londres
11 Punta_del_Este
12 Salto
13 Rivera
14 Canelones
15 Colonia
16 Durazno
17 Paysandu
18 Maldonado
19 San_Pablo
20 Buenos_Aires
21 Barcelona
22 Madrid
23 Berlin
24 Amsterdam
25 Lisboa
26 Bruselas
27 Estocolmo
28 Copenhague
29 Helsinki
30 Varsovia
31 Atenas
32 El_Cairo
33 Sidney
34 Melbourne
35 Toronto
36 Vancouver
37 Ciudad_de_Mexico
38 Bogota
39 Santiago_de_Chile
40 Quito
41 Lima
42 Caracas
43 Brasilia
44 Ciudad_del_Cabo
45 Johannesburgo
46 Dubai
47 Singapur
48 Seul
49 Beijing
50 Bangkok
368
1 47 93
1 46 14
1 19 92
1 38 82
1 49 79
1 12 90
1 34 30
1 2 52
2 8 56
2 9 45
2 37 49
2 3 58
2 1 52
3 27 39
3 43 84
3 47 85
3 36 2
3 18 65
3 45 31
3 4 66
3 2 58
4 39 21
4 8 87
4 41 19
4 9 63
4 34 97
4 21 15
4 5 66
4 3 66
5 14 99
5 49 2
5 28 97
5 23 2
5 35 26
5 6 97
5 4 66
6 22 96
6 26 18
6 17 31
6 42 29
6 32 84
6 45 86
6 7 25
6 5 97
7 45 14
7 33 6
7 49 66
7 41 47
7 8 73
7 6 25
8 34 95
8 4 87
8 2 56
8 14 2
8 40 60
8 9 96
8 7 73
9 17 10
9 22 41
9 14 35
9 2 45
9 4 63
9 47 97
9 37 9
9 18 62
9 10 3
9 8 96
10 26 44
10 42 14
10 34 90
10 11 66
10 9 3
11 17 44
11 26 61
11 42 38
11 23 59
11 16 24
11 14 39
11 44 67
11 35 97
11 12 14
11 10 66
12 31 68
12 1 90
12 28 59
12 13 22
12 11 14
13 36 70
13 48 29
13 28 19
13 39 76
13 45 11
13 38 99
13 37 12
13 14 85
13 12 22
14 5 99
14 24 94
14 41 7
14 9 35
14 11 39
14 8 2
14 36 32
14 21 63
14 22 100
14 15 6
14 13 85
15 33 40
15 44 75
15 29 80
15 27 33
15 48 80
15 18 92
15 16 39
15 14 6
16 39 36
16 37 58
16 11 24
16 24 24
16 25 83
16 17 91
16 15 39
17 11 44
17 9 10
17 44 82
17 35 8
17 6 31
17 47 63
17 36 51
17 41 53
17 29 8
17 24 28
17 18 5
17 16 91
18 48 81
18 31 88
18 3 65
18 37 9
18 15 92
18 9 62
18 19 100
18 17 5
19 1 92
19 49 50
19 21 52
19 20 46
19 18 100
20 39 98
20 36 46
20 21 36
20 19 46
21 50 59
21 14 63
21 4 15
21 19 52
21 22 88
21 20 36
22 6 96
22 29 37
22 33 75
22 9 41
22 43 90
22 14 100
22 23 43
22 21 88
23 26 42
23 33 70
23 11 59
23 5 2
23 31 5
23 50 40
23 24 53
23 22 43
24 39 33
24 14 94
24 16 24
24 17 28
24 25 10
24 23 53
25 46 48
25 32 42
25 36 22
25 16 83
25 26 55
25 24 10
26 23 42
26 11 61
26 6 18
26 10 44
26 37 65
26 27 89
26 25 55
27 3 39
27 45 32
27 15 33
27 28 1
27 26 89
28 13 19
28 12 59
28 5 97
28 29 80
28 27 1
29 22 37
29 41 17
29 15 80
29 50 89
29 17 8
29 30 37
29 28 80
30 32 85
30 31 95
30 29 37
31 33 62
31 12 68
31 18 88
31 48 98
31 23 5
31 32 20
31 30 95
32 43 38
32 44 30
32 36 4
32 25 42
32 30 85
32 50 44
32 6 84
32 33 40
32 31 20
33 31 62
33 15 40
33 23 70
33 22 75
33 35 4
33 7 6
33 36 74
33 34 5
33 32 40
34 8 95
34 41 1
34 4 97
34 46 50
34 1 30
34 10 90
34 35 85
34 33 5
35 17 8
35 33 4
35 43 18
35 41 38
35 11 97
35 5 26
35 36 57
35 34 85
36 13 70
36 46 68
36 32 4
36 25 22
36 3 2
36 20 46
36 14 32
36 17 51
36 33 74
36 37 53
36 35 57
37 16 58
37 2 49
37 9 9
37 18 9
37 13 12
37 26 65
37 38 9
37 36 53
38 46 65
38 50 11
38 48 84
38 1 82
38 13 99
38 39 29
38 37 9
39 20 98
39 24 33
39 4 21
39 16 36
39 13 76
39 40 49
39 38 29
40 48 6
40 8 60
40 41 63
40 39 49
41 34 1
41 14 7
41 29 17
41 4 19
41 35 38
41 47 89
41 7 47
41 17 53
41 42 46
41 40 63
42 49 86
42 11 38
42 10 14
42 6 29
42 43 62
42 41 46
43 32 38
43 3 84
43 46 84
43 35 18
43 22 90
43 44 85
43 42 62
44 17 82
44 15 75
44 32 30
44 11 67
44 45 31
44 43 85
45 27 32
45 7 14
45 3 31
45 13 11
45 6 86
45 46 67
45 44 31
46 48 37
46 43 84
46 38 65
46 1 14
46 25 48
46 36 68
46 34 50
46 49 43
46 47 23
46 45 67
47 1 93
47 3 85
47 17 63
47 9 97
47 41 89
47 48 73
47 46 23
48 18 81
48 46 37
48 40 6
48 38 84
48 13 29
48 50 32
48 31 98
48 15 80
48 49 24
48 47 73
49 42 86
49 5 2
49 1 79
49 7 66
49 46 43
49 19 50
49 50 22
49 48 24
50 21 59
50 38 11
50 48 32
50 32 44
50 29 89
50 23 40
50 49 22
